"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NIFTY","30-Nov-2018","31-Jan-2019","10968.95","10991","10901.45","10947.25","10956.1","10947.25","2717","22316.41","368325","30300","      10876.75"
"NIFTY","03-Dec-2018","31-Jan-2019","10992.35","11006.5","10919.1","10967.35","10975.55","10967.35","2122","17442.14","384900","16575","-"
"NIFTY","04-Dec-2018","31-Jan-2019","10931.3","10974","10916","10952.65","10949.7","10952.65","2200","18053.45","427200","42300","-"
"NIFTY","05-Dec-2018","31-Jan-2019","10881.2","10907.85","10835.55","10874.25","10883.4","10874.25","3832","31251.73","499125","71925","      10782.90"
"NIFTY","06-Dec-2018","31-Jan-2019","10804.3","10804.3","10660","10672.15","10666","10672.15","5652","45482.1","584250","85125","-"
"NIFTY","07-Dec-2018","31-Jan-2019","10718","10794.5","10685.75","10780.2","10787.5","10780.2","4669","37556.33","655575","71325","      10693.70"
"NIFTY","10-Dec-2018","31-Jan-2019","10624.1","10644.4","10545","10560.65","10545","10560.65","4971","39486.56","706650","51075","-"
"NIFTY","11-Dec-2018","31-Jan-2019","10398","10650","10398","10626.85","10629","10626.85","9270","73236.81","832350","125700","      10549.15"
"NIFTY","12-Dec-2018","31-Jan-2019","10645.2","10846.95","10634.55","10831.9","10822.1","10831.9","6940","56046.41","1044900","212550","      10737.60"
"NIFTY","13-Dec-2018","31-Jan-2019","10882.75","10928.85","10826.65","10870.8","10863.55","10870.8","6965","56821.87","1222425","177525","      10791.55"
"NIFTY","14-Dec-2018","31-Jan-2019","10833.45","10883.7","10820.05","10869.75","10873.4","10869.75","5693","46358.48","1402125","179700","-"
"NIFTY","17-Dec-2018","31-Jan-2019","10902.7","10972","10902.7","10958.05","10960","10958.05","6628","54389.86","1630425","228300","      10888.35"
"NIFTY","18-Dec-2018","31-Jan-2019","10924.2","10985","10886","10979.4","10984","10979.4","8626","70734.42","1957500","327075","-"
"NIFTY","19-Dec-2018","31-Jan-2019","11008.9","11050","10993.45","11032.2","11024.1","11032.2","13968","115511.21","2461950","504450","      10967.30"
"NIFTY","20-Dec-2018","31-Jan-2019","10959.55","11033.45","10937.55","11018","11027.1","11018","16496","135913.04","3050325","588375","-"
"NIFTY","21-Dec-2018","31-Jan-2019","11000.4","11021.85","10801.25","10811.95","10814","10811.95","47171","384834.26","4795725","1745400","-"
"NIFTY","24-Dec-2018","31-Jan-2019","10815.75","10829.3","10705","10726.5","10737.7","10726.5","110101","889797.04","10577850","5782125","-"
"NIFTY","26-Dec-2018","31-Jan-2019","10687.3","10805.2","10580.7","10790.7","10802","10790.7","145937","1167928.8","17366625","6788775","      10729.85"
"NIFTY","27-Dec-2018","31-Jan-2019","10860.65","10879.9","10800.05","10809.85","10805","10809.85","143118","1162649.32","21821700","4455075","-"
"NIFTY","28-Dec-2018","31-Jan-2019","10850.05","10946","10850","10907.75","10910","10907.75","111060","909072.45","22476600","654900","-"
"NIFTY","31-Dec-2018","31-Jan-2019","10960","10984.8","10902","10916.85","10918.2","10916.85","91544","750128.64","23395950","919350","      10862.55"
"NIFTY","01-Jan-2019","31-Jan-2019","10909.95","10967.5","10843.2","10960.55","10962.2","10960.55","88310","722018.75","23345700","-50250","      10910.10"
"NIFTY","02-Jan-2019","31-Jan-2019","10911.55","10938","10757","10830.85","10825.95","10830.85","192190","1563572.9","24153525","807825","      10792.50"
"NIFTY","03-Jan-2019","31-Jan-2019","10833.95","10859.95","10710.05","10718.5","10715.55","10718.5","149497","1207623.57","25217100","1063575","      10672.25"
"NIFTY","04-Jan-2019","31-Jan-2019","10739.95","10793.45","10678","10777.6","10782","10777.6","170444","1373549.07","25285650","68550","      10727.35"
"NIFTY","07-Jan-2019","31-Jan-2019","10861","10895.05","10778","10803.45","10803.05","10803.45","137762","1120248.33","25025025","-260625","-"
"NIFTY","08-Jan-2019","31-Jan-2019","10790","10872.75","10758","10844.65","10833.5","10844.65","128944","1046780.41","25445550","420525","-"
"NIFTY","09-Jan-2019","31-Jan-2019","10892.6","10904","10764.95","10877.7","10873.2","10877.7","163059","1327701.41","25214550","-231000","      10855.15"
"NIFTY","10-Jan-2019","31-Jan-2019","10873","10898.2","10830","10857.75","10853.95","10857.75","95576","778735.6","25009650","-204900","      10821.60"
"NIFTY","11-Jan-2019","31-Jan-2019","10873.95","10886.75","10772.55","10827.6","10813.55","10827.6","124482","1010495.26","24580275","-429375","      10794.95"
"NIFTY","14-Jan-2019","31-Jan-2019","10812.95","10820","10720.6","10769.8","10770.8","10769.8","100659","812084.07","24777225","196950","      10737.60"
"NIFTY","15-Jan-2019","31-Jan-2019","10805.15","10940","10792.35","10928.4","10927.3","10928.4","146944","1199344.35","25516725","739500","-"
"NIFTY","16-Jan-2019","31-Jan-2019","10930","10963","10907.2","10921.65","10921.2","10921.65","104009","852968.81","25039275","-477450","      10890.30"
"NIFTY","17-Jan-2019","31-Jan-2019","10942.95","10958.4","10855","10925.85","10915","10925.85","119253","976345.27","24702750","-336525","      10905.20"
"NIFTY","18-Jan-2019","31-Jan-2019","10960","10964","10875","10927.15","10936.8","10927.15","106762","873916.58","24560475","-142275","-"
"NIFTY","21-Jan-2019","31-Jan-2019","10930.05","11003.45","10902.15","10969.7","10964.5","10969.7","110208","906906.51","24789675","229200","-"
"NIFTY","22-Jan-2019","31-Jan-2019","10950","10954","10880","10936.2","10929.1","10936.2","102463","839395.15","24317625","-472050","      10922.75"
"NIFTY","23-Jan-2019","31-Jan-2019","10921.35","10962","10835","10854.9","10845","10854.9","105329","861592.1","24323175","5550","      10831.50"
"NIFTY","24-Jan-2019","31-Jan-2019","10855.05","10885","10811.4","10868.6","10877.6","10868.6","108745","884771.53","24341400","18225","      10849.80"
"NIFTY","25-Jan-2019","31-Jan-2019","10899.95","10955","10761.65","10785.95","10788.5","10785.95","161439","1316585.17","23736975","-604425","      10780.55"
"NIFTY","28-Jan-2019","31-Jan-2019","10784.9","10821.85","10642.65","10676.8","10695.15","10676.8","151283","1214993.38","22069725","-1667250","-"
"NIFTY","29-Jan-2019","31-Jan-2019","10679.05","10706","10597.7","10668.05","10699.45","10668.05","163357","1305120.22","17928750","-4140975","      10652.20"
"NIFTY","30-Jan-2019","31-Jan-2019","10709","10714","10606","10642.9","10633","10642.9","173708","1388614.69","15736950","-2191800","      10651.80"
"NIFTY","31-Jan-2019","31-Jan-2019","10688.95","10844.15","10676.1","10833.85","10832.6","10830.95","183832","1483699.26","11532225","-4204725","      10830.95"
