caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,spindx
01/02/2001,-0.028371,-0.028371,-0.028107,-0.028107,11263139600.00,500,1283.27
01/03/2001,0.050591,0.050455,0.045370,0.045297,11831424800.00,500,1347.56
01/04/2001,-0.010667,-0.010691,-0.007648,-0.007661,11705061700.00,500,1333.34
01/05/2001,-0.026591,-0.026597,-0.020386,-0.020407,11393745100.00,500,1298.35
01/08/2001,-0.001724,-0.001934,0.002650,0.002521,11371709200.00,500,1295.86
01/09/2001,0.004094,0.004057,0.003216,0.003183,11417845900.00,500,1300.80
01/10/2001,0.009595,0.009509,0.010793,0.010706,11526453400.00,500,1313.27
01/11/2001,0.010237,0.010235,0.003979,0.003943,11645245400.00,500,1326.82
01/12/2001,-0.006454,-0.006456,-0.002879,-0.002886,11568786200.00,500,1318.32
01/16/2001,0.006371,0.006371,0.008015,0.008015,11648139700.00,500,1326.65
01/17/2001,0.002163,0.002106,0.003712,0.003683,11672674200.00,500,1329.47
01/18/2001,0.014016,0.014005,0.004208,0.004183,11836154800.00,500,1347.97
01/19/2001,-0.004101,-0.004103,-0.010842,-0.010844,11787594100.00,500,1342.54
01/22/2001,0.000250,0.000250,0.009130,0.009130,11790546700.00,500,1342.90
01/23/2001,0.013191,0.013191,0.015221,0.015221,11946180000.00,500,1360.40
01/24/2001,0.002976,0.002962,0.001641,0.001598,11981574000.00,500,1364.30
01/25/2001,-0.005012,-0.005021,0.002015,0.001976,11921417800.00,500,1357.51
01/26/2001,-0.001704,-0.001751,-0.002574,-0.002604,11902528400.00,500,1354.95
01/29/2001,0.006798,0.006738,0.011783,0.011703,11982725200.00,500,1364.17
01/30/2001,0.007068,0.007036,0.008073,0.007982,12074102400.00,500,1373.73
01/31/2001,-0.005587,-0.005684,-0.002071,-0.002148,12014544500.00,500,1366.01
02/01/2001,0.005626,0.005529,0.003829,0.003758,12085663800.00,500,1373.47
02/02/2001,-0.017533,-0.017536,-0.011645,-0.011657,11874411300.00,500,1349.47
02/05/2001,0.003487,0.003460,0.003146,0.003067,11915632900.00,500,1354.31
02/06/2001,-0.001383,-0.001433,0.000528,0.000454,11898560900.00,500,1352.26
02/07/2001,-0.008208,-0.008415,-0.001669,-0.001807,11797158300.00,500,1340.89
02/08/2001,-0.006215,-0.006226,-0.003720,-0.003756,11720783100.00,500,1332.53
02/09/2001,-0.013722,-0.013754,-0.008291,-0.008315,11559619000.00,500,1314.76
02/12/2001,0.012105,0.012090,0.009044,0.008991,11702997500.00,500,1330.31
02/13/2001,-0.008527,-0.008614,-0.002075,-0.002170,11602326300.00,500,1318.80
02/14/2001,-0.001943,-0.002131,0.000228,0.000009,11592726800.00,500,1315.92
02/15/2001,0.008388,0.008307,0.009689,0.009581,11692045900.00,500,1326.61
02/16/2001,-0.019003,-0.019019,-0.014006,-0.014066,11469771500.00,500,1301.53
02/20/2001,-0.017329,-0.017339,-0.013838,-0.013850,11271180500.00,500,1278.94
02/21/2001,-0.018551,-0.018610,-0.015001,-0.015119,11061426200.00,500,1255.27
02/22/2001,-0.002012,-0.002046,-0.003263,-0.003378,11038798500.00,500,1252.82
02/23/2001,-0.005536,-0.005550,-0.003972,-0.004000,10977465600.00,500,1245.86
02/26/2001,0.017562,0.017509,0.019133,0.019057,11169432000.00,500,1267.65
02/27/2001,-0.007641,-0.007717,-0.007700,-0.007929,11065378300.00,500,1257.94
02/28/2001,-0.013917,-0.014082,-0.011031,-0.011189,10939528400.00,500,1239.94
03/01/2001,0.001041,0.001016,0.001630,0.001528,10957039600.00,500,1241.23
03/02/2001,-0.005929,-0.005929,0.004007,0.004004,10892051600.00,500,1234.18
03/05/2001,0.006105,0.005954,0.007167,0.007141,10956905800.00,500,1241.41
03/06/2001,0.010168,0.010151,0.009803,0.009761,11068126500.00,500,1253.80
03/07/2001,0.006646,0.006450,0.009267,0.009020,11139513600.00,500,1261.89
03/08/2001,0.002230,0.002197,0.003732,0.003672,11164048700.00,500,1264.74
03/09/2001,-0.025011,-0.025016,-0.020366,-0.020382,10884772000.00,500,1233.42
