Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,9.690000,9.850000,9.460000,9.800000,8.549990,31894063
2013-01-04,9.880000,9.960000,9.510000,9.660000,8.427846,34853809
2013-01-07,9.560000,9.660000,9.390000,9.600000,8.375500,27840159
2013-01-08,9.540000,9.580000,9.200000,9.370000,8.174837,33990648
2013-01-09,9.350000,9.550000,9.300000,9.390000,8.192285,22895718
2013-01-10,9.380000,9.590000,9.220000,9.370000,8.174837,20843271
2013-01-11,9.360000,9.420000,9.110000,9.140000,7.974174,28869052
2013-01-14,9.130000,9.590000,9.110000,9.510000,8.296980,39079850
2013-01-15,9.570000,9.710000,9.520000,9.610000,8.384224,28064389
2013-01-16,9.600000,9.650000,9.240000,9.400000,8.201009,22286852
2013-01-17,9.360000,9.580000,9.220000,9.400000,8.201009,26195680
2013-01-18,9.470000,9.520000,9.210000,9.400000,8.201009,44631420
2013-01-21,9.390000,9.410000,9.250000,9.350000,8.157388,25748119
2013-01-22,9.350000,9.400000,9.190000,9.250000,8.070143,36666309
2013-01-23,9.220000,9.230000,8.960000,9.150000,7.982897,31760514
2013-01-24,9.130000,9.520000,9.090000,9.180000,8.009072,60530378
2013-01-25,9.140000,9.270000,9.040000,9.060000,7.904379,24267556
2013-01-28,9.100000,9.650000,9.100000,9.640000,8.410398,65935071
2013-01-29,9.610000,10.190000,9.610000,10.180000,8.881519,96127080
2013-01-30,10.230000,10.760000,10.140000,10.480000,9.143252,92615360
2013-01-31,10.440000,10.700000,10.350000,10.490000,9.151978,52927667
2013-02-01,10.360000,11.510000,10.300000,11.350000,9.902284,85454907
2013-02-04,11.700000,12.490000,11.490000,11.860000,10.347231,136689361
2013-02-05,11.710000,11.950000,11.450000,11.880000,10.364680,81607836
2013-02-06,11.880000,12.290000,11.800000,11.880000,10.364680,72459547
2013-02-07,11.810000,12.200000,11.550000,12.070000,10.530446,73679572
2013-02-08,12.080000,12.110000,11.660000,11.780000,10.277435,55491284
2013-02-18,11.880000,11.920000,11.350000,11.370000,9.919733,45035310
2013-02-19,11.340000,11.460000,10.980000,11.090000,9.675447,55820687
2013-02-20,11.060000,11.090000,10.710000,11.010000,9.605652,46238688
2013-02-21,10.810000,10.810000,10.300000,10.440000,9.108356,51883929
2013-02-22,10.440000,10.610000,10.380000,10.430000,9.099633,32467713
2013-02-25,10.580000,10.770000,10.450000,10.490000,9.151978,34147516
2013-02-26,10.200000,10.670000,9.950000,10.270000,8.960039,127965624
2013-02-27,10.310000,10.720000,10.280000,10.520000,9.178151,89749376
2013-02-28,10.620000,11.120000,10.430000,11.110000,9.692895,132557492
2013-03-01,11.090000,11.450000,10.890000,11.380000,9.928457,127185271
2013-03-04,11.030000,11.330000,10.600000,10.800000,9.422438,102381733
2013-03-05,10.990000,11.640000,10.730000,11.600000,10.120396,103562464
2013-03-06,11.650000,11.950000,11.420000,11.510000,10.041876,98772674
2013-03-07,11.550000,11.670000,10.820000,11.170000,9.745243,81735052
2013-03-08,11.180000,11.250000,10.670000,10.690000,9.326467,67888786
2013-03-11,10.650000,10.850000,10.430000,10.580000,9.230498,45216714
2013-03-12,10.610000,10.920000,10.320000,10.520000,9.178151,63796777
2013-03-13,10.520000,10.580000,10.260000,10.320000,9.003662,39757917
2013-03-14,10.280000,10.450000,10.250000,10.300000,8.986214,31594404
2013-03-15,10.350000,10.860000,10.050000,10.510000,9.169427,100447820
